frame,time_sec,vo_x,vo_y,vo_theta_deg,speed_kmh,steering_deg,action,alert_level,min_obs_dist,features
182,6.07,-0.49,12.02,-0.29,5,4.2,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.8,65
183,6.11,-0.49,12.11,-0.33,7,5.2,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.8,63
184,6.14,-0.49,12.2,-1.97,7,4.0,SLOW DOWN,CAUTION,7.8,62
185,6.17,-0.49,12.2,-1.95,5,3.1,SLOW DOWN,CAUTION,7.7,62
186,6.21,-0.49,12.27,-1.97,6,2.5,SLOW DOWN,CAUTION,7.7,62
187,6.24,-0.49,12.3,-2.8,5,1.9,SLOW DOWN,CAUTION,7.7,61
188,6.27,-0.5,12.38,-2.77,6,1.5,SLOW DOWN,CAUTION,7.6,60
189,6.31,-0.5,12.38,-2.72,4,1.2,SLOW DOWN,CAUTION,7.7,60
190,6.34,-0.5,12.47,-2.69,6,0.9,SLOW DOWN,CAUTION,7.7,60
191,6.37,-0.51,12.58,-2.63,7,0.7,SLOW DOWN,CAUTION,7.6,60
192,6.41,-0.51,12.58,-2.57,6,2.5,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.6,60
193,6.44,-0.51,12.59,-2.54,4,3.8,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.6,60
194,6.47,-0.51,12.65,-3.15,5,3.0,SLOW DOWN,CAUTION,7.6,58
195,6.51,-0.51,12.7,-3.11,5,2.3,SLOW DOWN,CAUTION,7.6,56
196,6.54,-0.51,12.75,-2.63,5,1.8,SLOW DOWN,CAUTION,7.6,50
197,6.57,-0.51,12.75,-3.89,3,1.4,SLOW DOWN,CAUTION,7.7,50
198,6.61,-0.52,12.75,-3.92,2,1.1,SLOW DOWN,CAUTION,7.6,49
199,6.64,-0.52,12.76,-3.97,2,0.9,SLOW DOWN,CAUTION,7.6,49
200,6.67,-0.52,12.76,-3.92,1,-2.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,49
201,6.71,-0.52,12.76,-3.87,1,-5.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,48
202,6.74,-0.52,12.77,-0.76,1,-6.9,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,48
203,6.77,-0.52,12.78,-1.57,1,-8.5,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.4,47
204,6.81,-0.52,12.8,-2.74,1,-9.7,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.4,47
205,6.84,-0.52,12.8,-3.8,1,-7.6,SLOW DOWN,CAUTION,7.6,47
206,6.87,-0.52,12.8,-3.84,1,-5.9,SLOW DOWN,CAUTION,7.6,46
207,6.91,-0.52,12.8,-3.56,0,-4.6,SLOW DOWN,CAUTION,7.6,44
208,6.94,-0.52,12.81,-4.73,0,-3.6,SLOW DOWN,CAUTION,7.7,43
209,6.97,-0.52,12.81,-4.61,0,-2.8,SLOW DOWN,CAUTION,7.7,42
210,7.01,-0.52,12.82,-4.53,0,-2.2,SLOW DOWN,CAUTION,7.7,42
211,7.04,-0.52,12.86,-3.25,2,-1.7,SLOW DOWN,CAUTION,7.8,42
212,7.07,-0.52,12.89,-3.2,2,-1.3,SLOW DOWN,CAUTION,7.8,42
213,7.11,-0.52,12.89,-4.99,1,-1.0,SLOW DOWN,CAUTION,7.8,41
214,7.14,-0.53,12.92,-4.1,2,-0.8,SLOW DOWN,CAUTION,7.8,41
215,7.17,-0.53,12.92,-4.42,1,-0.6,SLOW DOWN,CAUTION,7.7,41
216,7.21,-0.53,12.93,-3.12,1,-0.5,SLOW DOWN,CAUTION,7.7,39
217,7.24,-0.53,13.03,-3.08,4,-0.4,SLOW DOWN,CAUTION,7.9,154
218,7.27,-0.54,13.14,-3.05,6,-0.3,SLOW DOWN,CAUTION,7.8,149
219,7.31,-0.54,13.27,-3.0,8,-0.2,SLOW DOWN,CAUTION,7.8,138
220,7.34,-0.55,13.4,-2.9,10,-0.2,SLOW DOWN,CAUTION,7.8,134
221,7.37,-0.56,13.51,-2.83,10,-0.1,SLOW DOWN,CAUTION,7.8,130
222,7.41,-0.56,13.62,-2.76,11,-0.1,SLOW DOWN,CAUTION,7.9,122
223,7.44,-0.57,13.73,-2.72,11,-0.1,SLOW DOWN,CAUTION,7.8,117
224,7.47,-0.57,13.8,-2.67,10,-0.1,SLOW DOWN,CAUTION,7.8,109
225,7.51,-0.58,13.9,-2.65,10,-0.1,SLOW DOWN,CAUTION,7.7,105
226,7.54,-0.58,14.01,-2.56,11,-0.0,SLOW DOWN,CAUTION,7.7,102
227,7.57,-0.58,14.05,-2.51,9,-0.0,SLOW DOWN,CAUTION,7.7,100
228,7.61,-0.59,14.15,-2.47,9,-0.0,SLOW DOWN,CAUTION,7.7,95
229,7.64,-0.59,14.21,-2.13,9,-0.0,SLOW DOWN,CAUTION,7.7,91
230,7.67,-0.59,14.28,-2.03,8,-0.0,SLOW DOWN,CAUTION,7.8,88
231,7.71,-0.59,14.3,-1.97,7,-0.0,SLOW DOWN,CAUTION,7.9,86
232,7.74,-0.6,14.46,-1.94,10,-0.0,SLOW DOWN,CAUTION,7.9,86
233,7.77,-0.6,14.49,-2.16,8,-0.0,SLOW DOWN,CAUTION,7.8,83
234,7.81,-0.6,14.64,-2.23,10,-0.0,SLOW DOWN,CAUTION,7.8,79
235,7.84,-0.61,14.83,-2.09,13,-0.0,SLOW DOWN,CAUTION,7.7,78
236,7.87,-0.62,15.01,-2.06,15,-0.0,SLOW DOWN,CAUTION,7.6,78
237,7.91,-0.62,15.05,-2.07,12,-0.0,SLOW DOWN,CAUTION,7.6,77
238,7.94,-0.62,15.1,-2.05,10,-0.0,SLOW DOWN,CAUTION,7.5,75
239,7.97,-0.62,15.18,-2.1,10,-0.0,SLOW DOWN,CAUTION,7.5,69
240,8.01,-0.63,15.22,-2.08,8,-0.0,SLOW DOWN,CAUTION,7.5,67
241,8.04,-0.63,15.31,-2.09,9,1.9,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.4,64
242,8.07,-0.63,15.31,-2.07,5,3.4,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.5,61
